id,topic_id,title,order,en,vi,zh,fr,de,hi,ind,it,ko,ms,pt,ru,es,th,tl,ar,pl,hr,nl,el,hu,sv,cs,ro,bg,da,tr,fi,sl,fa,bn,uk,am,km,si,zu,sw,lo,no
17,2,髪,4,Hair,Tóc,头发,Cheveux,Haar,बाल,Rambut,Capelli,머리,Rambut,Cabelo,волосы,El Pelo,ผม,Buhok,شعر,Włosy,Dlaka,Haar-,μαλλιά,Haj,Hår,Vlasy,Păr,коса,Hår,Saç,Hiukset,Lase,مو,চুল,волосся,ፀጉር,សក់,හිසකෙස්,Izinwele,Nywele,ຜົມ,Hår
18,2,美容,5,Beauty,Vẻ Đẹp,美容,Beauté,Schönheit,सुंदरता,Keindahan,Bellezza,아름다움,Kecantikan,Beleza,красота,Belleza,ความงาม,Kagandahan,جمال,Piękno,Ljepota,Schoonheid,ομορφιά,Szépség,Skönhet,Krása,Frumuseţe,красота,Skønhed,Güzellik,Kauneus,Lepoto,زیبایی,সৌন্দর্য,краси,ውበት,សម្រស់,අලංකාරය,Ubuhle,Uzuri,ຄວາມງາມ,Skjønnhet
19,3,病気,1,Illness,Bệnh Tật,疾病,Maladie,Krankheit,रोग,Penyakit,Malattia,병고,Penyakit,Doença,болезнь,Enfermedad,เจ็บป่วย,Sakit,مرض,Choroba,Bolest,Ziekte,ασθένεια,Betegség,Sjukdom,Nemoc,Boală,заболяване,Sygdom,Hastalık,Sairaus,Bolezni,بیماری,অসুস্থতা,хвороба,ሕመም,ជំងឺ,අසනීප වේ,Ukugula,Ugonjwa,ເຈັບປ່ວຍ,Sykdom
20,3,医者,3,Doctor,Bác Sĩ,医生,Médecin,Arzt,चिकित्सक,Dokter,Medico,의사,Doktor,Médico,врач,Doctor,คุณหมอ,Doktor,طبيب,Lekarz,Liječnik,Doctor,γιατρός,Orvos,Läkare,Doktor,Doctor,лекар,Læge,Doktor,Lääkäri,Zdravnik,دکتر,ডাক্তার,лікаря,ሐኪም,វេជ្ជបណ្ឌិត,වෛද්යවරයෙක්,Udokotela,Daktari,ທ່ານຫມໍ,Doktor
21,3,怪我,2,Injury,Vết Thương,伤口,Blessure,Verletzung,चोट,Cedera,Ferita,해,Kecederaan,Prejuízo,травма,La Herida,ความเสียหาย,Pinsala,إصابه,Zranienie,Ozljeda,Letsel,βλάβη,Sérülés,Skada,Zranění,Rănire,нараняване,Skade,Hasar,Vahinko,Poškodbe,صدمه,আঘাত,травми,ጉዳት,របួស,තුවාලයක්,Ukulimala,Kuumia,ການບາດເຈັບ,Skade
22,3,応急手当,4,First Aid,Sơ Cứu,急救,Premiers Secours,Erste Hilfe,प्राथमिक चिकित्सा,Pertolongan Pertama,Primo Soccorso,응급 처치,Pertolongan Cemas,Primeiros Socorros,первая помощь,Primeros Auxilios,ปฐมพยาบาล,Pangunang Lunas,الإسعافات الأولية,Pierwsza Pomoc,Prva Pomoć,Eerste Hulp,πρώτες βοήθειες,Elsősegély,Första Hjälpen,První Pomoc,Primul Ajutor,първа помощ,Førstehjælp,Ilk Yardım,Ensiapu,Prva Pomoč,کمک های اولیه,প্রাথমিক চিকিৎসা,перша допомога,የመጀመሪያ እርዳታ,ការ​សង្គ្រោះ​បថ​ម,ප්රථමාධාර,Insiza Yezimo Eziphuthumayo,Första Hjälpen,ການຊ່ວຍເຫຼືອຄັ້ງທໍາອິດ,Førstehjelp
23,3,病院,5,Hospital,Bệnh Viện,医院,Hôpital,Krankenhaus,अस्पताल,RSUD,Ospedale,병원,Hospital,Hospital,больница,Hospital,โรงพยาบาล,Ospital,مستشفى,Szpital,Bolnica,Ziekenhuis,νοσοκομείο,Kórház,Sjukhus,Nemocnice,Spital,болница,Hospital,Hastane,Sairaala,Bolnišnica,بیمارستان,হাসপাতাল,лікарні,ሆስፒታል,មន្ទីរពេទ្យ,රෝහල,Esibhedlela,Hospitali,ໂຮງຫມໍ,Sykehus
27,3,目,9,Eye,Mắt,眼睛,Œil,Auge,आंख,Mata,Occhio,눈,Mata,Olho,глаз,Los Ojos,ตา,Mata,عين,Oko,Oko,Oog,μάτι,Szem,Öga,Oko,Ochi,око,Øje,Göz,Silmä,Oči,چشم,চোখ,очей,ዓይን,ភ្នែក,ඇස,Iso,Jicho,ຕາ,Øye
29,3,出産,10,Childbirth,Sinh Đẻ,分娩,Accouchement,Geburt,प्रसव,Persalinan,Parto,출산,Melahirkan Anak,Parto,роды,El Parto,การคลอดบุตร,Panganganak,الولادة,Poród,Porođaj,Bevalling,ΓΕΝΝΗΣΗ ΠΑΙΔΙΟΥ,Szülés,Förlossning,Porod,Naştere,раждане,Fødsel,Çocuk Doğurma,Synnytys,Poroda,زایمان,প্রসবাবস্থা,пологи,ልጅ መውለድ,ការសម្រាលកូន,දරු ප්රසූතියේදී,Ukubeletha,Kuzaa,ການເກີດລູກ,Fødsel
32,4,住宅,7,House,Nhà Ở,住宅,Maison,Haus,मकान,Rumah,Casa,집,Rumah,Casa,жилой дом,La Casa,บ้าน,Bahay,منزل,Dom,Kuća,Huis,σπίτι,Ház,Hus,Dům,Casă,къща,Hus,Ev,Talo,Hiša,خانه,গৃহ,будинок,ቤት,ផ្ទះ,නිවස,Indlu,Nyumba,ເຮືອນ,Hus
34,4,居間,2,Living Room,Phòng Khách,客厅,Salon,Wohnzimmer,बैठक कक्ष,Ruang Keluarga,Soggiorno,거실,Ruang Tamu,Sala De Estar,гостинная,El Salón,ห้องนั่งเล่น,Sala,غرفة المعيشة,Salon,Dnevna Soba,Woonkamer,σαλόνι,Nappali,Vardagsrum,Obývací Pokoj,Sufragerie,хол,Stue,Oturma Odası,Olohuone,Dnevna Soba,حال,লিভিং রুমে,Вітальня,ሳሎን,បន្ទប់ទទួលភ្ញៀវ,විසිත්ත කාමරය,Igumbi Lokuphumula,Chumba Cha Kulala,ຫ້ອງ​ຮັບ​ແຂກ,Stue
35,4,ダイニングルーム,3,Dining Room,Phòng Ăn,餐厅,Salle À Manger,Esszimmer,भोजन कक्ष,Ruang Makan,Sala Da Pranzo,식당,Ruang Makan,Sala De Jantar,столовая,El Comedor,ห้องอาหาร,Hapag Kainan,غرفة العشاء,Jadalnia,Blagovaonica,Eetkamer,τραπεζαρία,Étkező,Matsal,Jídelna,Sala De Mese,трапезария,Spisestue,Yemek Odası,Ruokasali,Jedilnica,ناهارخوری,খাবার কক্ষ,їдальня,መመገቢያ ክፍል,បន្ទប់បរិភោគអាហារ,කෑම කාමරය,Ikamelo Lokudlela,Chumba Cha Kulia,ຫ້ອງ​ກິນ​ເຂົ້າ,Spisestue
36,4,台所,4,Kitchen,Nhà Bếp,厨房,Cuisine,Küche,रसोई,Dapur,Cucina,부엌,Dapur,Cozinha,кухня,La Cocina,ครัว,Kusina,مطبخ,Kuchnia,Kuhinja,Keuken-,κουζίνα,Konyha,Kök,Kuchyně,Bucătărie,кухня,Køkken,Mutfak,Keittiö,Kuhinja,آشپزخانه,রান্নাঘর,кухня,ወጥ ቤት,ផ្ទះបាយ,කුස්සිය,Ikhishi,Jikoni,ເຮືອນຄົວ,Kjøkken
37,4,調理用具,1,Kitchenware,Đồ Dùng Nấu Ăn,厨房用具,Ustensiles De Cuisine,Geschirr,बरतन,Peralatan Dapur,Utensili Da Cucina,주방 용품,Peralatan Dapur,Utensílios De Cozinha,кухонная утварь,El Menaje De Cocina,เครื่องครัว,Kitchenware,أدوات المطبخ,Sprzęt Kuchenny,Kuhinjsko Posuđe,Keukengerei,ΕΙΔΗ ΚΟΥΖΙΝΑΣ,Konyhaedények,Köksutrustning,Kuchyňské Nádobí,Ustensile De Bucătărie,кухненски съдове и прибори,Køkkenudstyr,Mutfak Gereçleri,Keittiö-,Kuhinjska Posoda,وسایل آشپزخانه,বাসনপত্র,посуд,የምግብ ዕቃዎች,ផ្ទះបាយ,මුළුතැන්ගෙයි උපකරණ,I-Kitchenware,Kitchenware,kitchenware,Kjøkkenutstyr
38,4,寝室,5,Bedroom,Phòng Ngủ,卧室,Chambre,Schlafzimmer,शयनकक्ष,Kamar Tidur,Camera Da Letto,침실,Bilik Tidur,Quarto,спальная комната,La Habitación,ห้องนอน,Kwarto,غرفة نوم,Sypialnia,Spavaća Soba,Slaapkamer,υπνοδωμάτιο,Hálószoba,Sovrum,Ložnice,Dormitor,спалня,Soveværelse,Yatak Odası,Makuuhuone,Spalnico,اتاق خواب,শয়নকক্ষ,спальні,መኝታ ቤት,បន្ទប់គេង,නිදන කාමරය,Ekamelweni Lokulala,Chumbani,ຫ້ອງນອນ,Soverom
39,4,浴室,6,Bathroom,Nhà Tắm,浴室,Salle De Bains,Badezimmer,बाथरूम,Kamar Mandi,Bagno,화장실,Bilik Mandi,Banheiro,ванная,El Baño,ห้องอาบน้ำ,Banyo,حمام,Łazienka,Kupaonica,Badkamer,τουαλέτα,Fürdőszoba,Badrum,Koupelna,Baie,баня,Badeværelse,Banyo,Kylpyhuone,Kopalnica,حمام,পায়খানা,ванна кімната,መታጠቢያ ቤት,បន្ទប់ទឹក,නානකාමරය,Indlu Yokugezela,Bafuni,ຫ້ອງນ້ໍາ,Baderom
40,4,子供部屋,8,Nursery,Phòng Trẻ Em,儿童间,Garderie,Kindergarten,नर्सरी,Kamar Bayi,Asilo Nido,양식장,Nurseri,Berçário,питомник,La Guardería,แปลง,Nursery,حضانة,Żłobek,Jaslice,Kwekerij,φυτώριο,Óvoda,Barnkammare,Školka,Pepinieră,детска ясла,Planteskole,Kreş,Lastentarha,Vrtec,مهد کودک,শিশুশালা,розплідник,መዋዕለ ሕፃናት,កន្លែងបណ្តុះកូន,තවාන්,I-Nursery,Kitalu,ສວນກ້າ,Planteskole
41,4,ユティリティルーム,9,Utility Room,Phòng Tiện Ích,杂物间,Buanderie,Allzweckraum,व्यावहारिक कक्ष,Ruang Utilitas,Stanza Utile,유틸리티 실,Bilik Utiliti,Despensa,подсобное помещение,El Lavadero,ห้องเอนกประสงค์,Utility Room,غرفة المرافق,Pomieszczenie Gospodarcze,Ostava,Bijkeuken,βοηθητικό δωμάτιο,Mosókonyha,Förråd,Technická Místnost,Cameră Utilitară,мокро помещение,Bryggers,Hizmet Odası,Kodinhoitohuone,Shramba,اتاق ابزار,ইউটিলিটি রুম,підсобне приміщення,የመገልገያ ክፍል,បន្ទប់ប្រើប្រាស់,උපයෝගීතා කාමරය,Igumbi Lokusebenzela,Chumba Cha Huduma,ຫ້ອງນ້ໍາປະປາ,Utstyrsrom
42,4,作業場,10,Workshop,Xưởng,车间,Atelier,Werkstatt,कार्यशाला,Bengkel,Laboratorio,작업장,Bengkel,Oficina,мастерская,El Taller,โรงงาน,Workshop,ورشة عمل,Warsztat,Radionica,Werkplaats,ΕΡΓΑΣΤΗΡΙ,Műhely,Verkstad,Dílna,Atelier,цех,Værksted,Atölye,Työpaja,Delavnico,کارگاه,কারখানা,майстерні,አውደ ጥናት,សិក្ខាសាលា,වැඩමුළුව,Workshop,Semina,ກອງປະຊຸມ,Verksted
49,5,緊急サービス,3,Emergency Services,Các Dịch Vụ Khẩn Cấp,紧急服务,Services D'urgence,Rettungsdienste,आपातकालीन सेवाएं,Layanan Darurat,Servizi Di Emergenza,긴급 서비스,Perkhidmatan Kecemasan,Serviços De Emergência,Службы спасения,Los Servicios De Emergencia,บริการฉุกเฉิน,Mga Serbisyong Pang-Emergency,خدمات الطوارئ,Służby Ratunkowe,Hitne Službe,Hulpverleningsdiensten,υπηρεσίες έκτακτης ανάγκης,Sürgősségi Ellátás,Akuttjänster,Nouzové Služby,Serviciile De Urgență,спешна помощ,Nødtjenester,Acil Servisler,Hätäpalvelut,Reševalne Službe,خدمات ضروری,জরুরী সেবা,аварійних служб,የድንገተኛ አገልግሎቶች,សេវា​សង្គ្រោះ​បន្ទាន់,හදිසි සේවා,Amasevisi Ophuthumayo,Huduma Za Dharura,ບໍລິການສຸກເສີນ,Nødhjelp
50,5,銀行,2,Bank,Ngân Hàng,银行,Banque,Bank,बैंक,Bank,Banca,은행,Bank,Banco,банка,El Banco,ธนาคาร,Bangko,بنك,Bank,Banka,Bank,τράπεζα,Bank,Bank,Banka,Bancă,банка,Bank,Banka,Pankki,Banki,بانک,ব্যাংক,банку,ባንክ,ធនាគារ,බැංකුව,Ibhange,Benki,ທະນາຄານ,Bank
51,5,コミュニケーション,4,Communications,Truyền Thông,通讯,Les Communications,Kommunikation,संचार,Komunikasi,Comunicazioni,연락,Komunikasi,Comunicações,связь,Las Comunicaciones,คมนาคม,Komunikasyon,مجال الاتصالات,Komunikacja,Komunikacije,Communicatie,διαβιβάσεις,Távközlés,Kommunikation,Komunikace,Comunicații,комуникации,Kommunikation,Iletişim,Viestintä,Komunikacije,ارتباطات,যোগাযোগ,комунікацій,ግንኙነቶች,ទំនាក់ទំនង,සන්නිවේදනයයි,Ukuxhumana,Mawasiliano,ການສື່ສານ,Kommunikasjon
52,5,ホテル,1,Hotel,Khách Sạn,旅馆,Un Hôtel,Hotel,होटल,Hotel,Hotel,호텔,Hotel,Hotel,Гостиница,El Hotel,โรงแรม,Hotel,الفندق,Hotel,Hotel,Hotel,ξενοδοχειο,Szálloda,Hotell,Hotel,Hotel,хотел,Hotel,Otel,Hotelli,Hotel,هتل,হোটেল,готель,ሆቴል,សណ្ឋាគារ,හෝටල්,Ihhotela,Hoteli,ໂຮງແຮມ,Hotell
53,6,ショッピングセンター,4,Shopping Centre,Trung Tâm Mua Sắm,购物中心,Centre Commercial,Einkaufszentrum,शॉपिंग सेंटर,Pusat Perbelanjaan,Centro Commerciale,쇼핑 센터,Pusat Membeli-Belah,Shopping Center,торговый центр,Centro Comercial,ศูนย์การค้า,Shopping Center,مركز تسوق,Centrum Handlowe,Soping Centar,Winkelcentrum,εμπορικό κέντρο,Bevásárlóközpont,Köpcentrum,Nákupní Centrum,Centru Comercial,търговски център,Indkøbscenter,Alışveriş Merkezi,Ostoskeskus,Nakupovalni Center,مرکز خرید,বিপনি বিতান,торговий центр,የገበያ ማዕከል,មជ្ឈមណ្ឌលផ្សារទំនើប,සාප්පු මධ්යස්ථානයයි,Indawo Yokuthenga,Kituo Cha Ununuzi,ສູນ​ການ​ຄ້າ,Kjøpesenter
55,6,スーパーマーケット,1,Supermarket,Siêu Thị,超市,Supermarché,Supermarkt,सुपरमार्केट,Supermarket,Supermercato,슈퍼마켓,Pasar Raya,Supermercado,супермаркет,Supermercado,ซุปเปอร์มาร์เก็ต,Supermarket,سوبر ماركت,Supermarket,Supermarket,Supermarkt,σουπερμάρκετ,Szupermarket,Mataffär,Supermarket,Supermarket,супермаркет,Supermarked,Süpermarket,Supermarket,Supermarket,سوپر مارکت,সুপারমার্কেট,супермаркет,ሱፐርማርኬት,ផ្សារទំនើប,සුපිරිවෙළෙඳසැල,Isuphamakethe,Maduka Makubwa,supermarket,Supermarked
56,6,薬局,3,Chemist,Dược Phẩm,药品,Chimiste,Chemiker,रसायनज्ञ,Ahli Kimia,Chimico,화학자,Ahli Kimia,Químico,химик,Químico,นักเคมี,Botika,كيميائي,Chemik,Kemičar,Scheikundige,χημικός,Vegyész,Kemist,Chemik,Chimist,химик,Kemiker,Eczacı,Kemisti,Kemik,شیمیدان,রসায়নবিৎ,хімік,ኬሚስት,គីមីវិទូ,රසායනඥයෙක්,Isazi Samakhemikhali,Kemia,chemist,Kjemiker
59,6,菓子屋,6,Confectioner,Cửa Hàng Kẹo,糖果店,Confiseur,Konditor,हलवाई,Penjual Manisan,Pasticciere,과자 장수,Pengilang,Pasteleiro,кондитер,Confitero,คนขายลูกกวาด,Taga-Gawa,حلواني,Cukiernik,Poslastičar,Banketbakker,ζαχαροπλάστης,Cukrász,Konditor,Cukrář,Cofetar,сладкар,Konditor,Şekerci,Kondiittori,Slaščičar,قنادی,ময়রা,кондитер,ጣፋጭ,confectioner,රසකැවිලි,I-Confectioner,Confectioner,confectioner,Konditor
60,6,その他の店,7,Other Shops,Cửa Hàng Khác,其他商店,Autres Magasins,Andere Geschäfte,अन्य दुकानें,Toko Lain,Altri Negozi,다른 상점들,Kedai-Kedai Lain,Outras Lojas,другие магазины,Otras Tiendas,ร้านค้าอื่น ๆ,Iba Pang Mga Tindahan,المتاجر الأخرى,Inne Sklepy,Drugim Trgovinama,Andere Winkels,άλλα καταστήματα,Más Üzletek,Andra Affärer,Další Obchody,Alte Magazine,други магазини,Andre Butikker,Diğer Dükkanlar,Muut Kaupat,Druge Trgovine,سایر مغازه ها,অন্যান্য দোকান,інші магазини,ሌሎች ሱቆች,ហាងផ្សេងទៀត,අනෙක් සාප්පු,Ezinye Izitolo,Maduka Mengine,ຮ້ານອື່ນ,Andre Butikker
61,7,肉,6,Meat,Thịt,肉,Moi À,Fleisch,मांस,Daging,Carne,고기,Daging,Carne,мясо,Carne,เนื้อ,Karne,لحم,Mięso,Meso,Vlees,κρέας,Hús,Kött,Maso,Carne,месо,Kød,Et,Liha,Meso,گوشت,মাংস,м'ясо,ስጋ,សាច់,මස්,Inyama,Nyama,ຊີ້ນ,Kjøtt
62,7,魚,7,Fish,Cá,鱼,Poisson,Fisch,मछली,Ikan,Pesce,물고기,Ikan,Peixe,рыба,Pez,ปลา,Isda,سمك,Ryba,Riba,Vis,ψάρι,Hal,Fisk,Ryba,Peşte,риба,Fisk,Balık,Kalastaa,Ribe,ماهی,মাছ,риба,ዓሳ,ត្រី,මාළු,Inhlanzi,Samaki,ປາ,Fisk
63,7,野菜,2,Vegetables,Rau,菜,Des Légumes,Gemüse,सब्जियां,Sayuran,Verdure,야채,Sayur-Sayuran,Legumes,овощи,Vegetales,ผัก,Gulay,خضروات,Warzywa,Povrće,Groenten,λαχανικά,Zöldségek,Grönsaker,Zelenina,Legume,зеленчуци,Grøntsager,Sebzeler,Vihannekset,Zelenjavo,سبزیجات,শাকসবজি,овочі,አትክልቶች,បន្លែ,එළවළු,Imifino,Mboga,ຜັກ,Grønnsaker
64,7,果物,1,Fruit,Hoa Quả,水果,Fruit,Obst,फल,Buah,Frutta,과일,Buah,Fruta,фрукты,Fruta,ผลไม้,Prutas,فاكهة,Owoc,Voće,Fruit,καρπός,Gyümölcs,Frukt,Ovoce,Fruct,плодове,Frugt,Meyve,Hedelmä,Sadje,میوه,ফল,фрукти,ፍሬ,ផ្លែឈើ,පලතුරු,Izithelo,Matunda,ຫມາກໄມ້,Frukt
65,7,穀類と豆類,8,Grains And Legumes,Ngũ Cốc Và Các Loại Đậu,谷物和豆类,Céréales Et Légumineuses,Körner Und Hülsenfrüchte,अनाज और फलियां,Biji-Bijian Dan Polong-Polongan,Cereali E Legumi,곡물과 콩류,Bijirin Dan Kekacang,Grãos E Leguminosas,зерно и бобовые,El Granos Y Los Legumbres,ธัญพืชและพืชตระกูลถั่ว,Mga Butil At Mga Luto,الحبوب والبقوليات,Ziarna I Rośliny Strączkowe,Žitarice I Mahunarke,Granen En Peulvruchten,σπόρους και όσπρια,Magvak És Hüvelyesek,Korn Och Baljväxter,Zrna A Luštěniny,Boabe Și Leguminoase,зърно и бобови растения,Korn Og Bælgfrugter,Tahıl Ve Bakliyat,Jyvät Ja Palkokasvit,Žita In Stročnice,غلات و حبوبات,শস্য এবং legumes,зернових і бобових культур,ጥራጥሬዎች እና ጥራጥሬዎች,ធញ្ញជាតិនិងសណ្តែក,ධාන්ය හා රනිල කුලය,Okusanhlamvu Kanye Nemifino,Nafaka Na Mboga,ເມັດພືດແລະ legumes,Korn Og Belgfrukter
66,7,ハーブと香辛料,12,Herbs And Spices,Các Loại Thảo Mộc Và Gia Vị,药草和香料,Herbes Et Épices,Kräuter Und Gewürze,औषधि और मसाले,Rempah Rempah,Erbe E Spezie,허브와 향신료,Herba Dan Rempah,Ervas E Especiarias,травы и специи,Hierbas Y Especias,สมุนไพรและเครื่องเทศ,Damo At Pampalasa,الأعشاب والتوابل,Zioła I Przyprawy,Bilje I Začini,Kruiden En Specerijen,βότανα και μπαχαρικά,Gyógy-És Fűszernövények,Örter Och Kryddor,Bylinky A Koření,Ierburi Și Condimente,билки и подправки,Urter Og Krydderier,Otlar Ve Baharatlar,Yrtit Ja Mausteet,Zelišča In Začimbe,گیاهان و ادویه جات ترشی جات,ঘাস এবং মশলা,трав і спецій,ዕፅዋትና ቅመማ ቅመሞች,ឱសថនិងគ្រឿងទេស,ඖෂධ පැළෑටි සහ කුළුබඩු,Amakhambi Nezinongo,Mimea Na Viungo,ພືດສະຫມຸນໄພແລະເຄື່ອງເທດ,Urter Og Krydder
