id,lesson_id,icon,word,romaji,hiragana,sound_check,en,vi,zh,fr,de,hi,ind,it,ko,ms,pt,ru,es,th,tl,ar,pl,hr,nl,el,hu,sv,cs,ro,bg,da,tr,fi,sl,fa,bn,uk,am,km,si,zu,sw,lo,no
13,1,Assets/Resources/Images/13.png,太腿,futomomo,ふともも,null,thigh,bắp đùi,大腿,cuisse,schenkel,जांघ,paha,coscia,대퇴골,paha,coxa,бедренная кость,el muslo,ต้นขา,hita,فخذ,udo,bedro,dij,μήρος,comb,lår,stehno,coapsă,бедро,lår,uyluk,reisi,tesno,ران,জাং,стегна,ጭን,ភ្លៅ,කලවසේය,ithanga,pua,ຂາ,lår
14,1,Assets/Resources/Images/14.png,膝,hiza,ひざ,null,knee,đầu gối,膝盖,le genou,knie,घुटना,lutut,ginocchio,무릎,lutut,joelho,колено,la rodilla,เข่า,tuhod,ركبة,kolano,koljeno,knie,γόνατο,térd,knä,koleno,genunchi,коляно,knæ,diz,polvi,kolena,زانو,হাঁটু,коліно,ጉልበት,ជង្គង់,දණහිස,amadolo,goti,ຫົວ​ເຂົ່າ,kne
15,1,Assets/Resources/Images/15.png,脚,ashi,あし,null,leg,chân,腿,jambe,bein,टांग,kaki,gamba,다리,kaki,perna,ножка,la pierna,ขา,binti,رجل,noga,noga,been,πόδι,láb,ben,noha,picior,крак,ben,bacak,jalka,nogo,پا,পা,ноги,እግር,ជើង,කකුල,umlenze,mguu,ຂາ,bein
16,1,Assets/Resources/Images/16.png,足,ashi,あし,null,foot,bàn chân,脚,pied,fuß,पैर,kaki,piede,발,kaki,pé,ступня,el pie,เท้า,paa,قدم,stopa,noga,voet,πόδι,láb,fot,noha,picior,крак,fod,ayak,jalka,stopala,پا,পা,ноги,እግር,ជើង,අඩි,unyawo,mguu,ຕີນ,fot
17,1,Assets/Resources/Images/17.png,女性,josei,じょせい,null,female,đàn bà,女子,femelle,weiblich,महिला,wanita,femmina,여자,perempuan,fêmea,женский пол,femenino,หญิง,babae,إناثا,płeć żeńska,žena,vrouw,θηλυκός,női,kvinna,ženský,femeie,женски пол,kvinde,kadın,nainen,ženske,زن,মহিলা,жінки,ሴት,ស្រី,කාන්තාවකි,owesifazane,kike,ຍິງ,hunn
18,1,Assets/Resources/Images/18.png,首筋,kubisuji,くびすじ,null,nape,gáy,脖颈儿,nuque,nacken,डब,tengkuk,nuca,목덜미,nape,nuca,загривок,la nuca,ต้นคอ,nape,مؤخر العنق,kark,potiljak,nek,αυχένας,tarkó,nacke,šíje,ceafă,тил,nakken,ense,nape,zadaj,زخم,ঘাড়,потилиця,ክታ,nape,උඩුකය,nape,nape,nape,nakken
19,1,Assets/Resources/Images/19.png,肩,kata,かた,null,shoulder,vai,背榜,épaule,schulter,कंधा,bahu,spalla,어깨,bahu,ombro,плечо,el hombro,ไหล่,balikat,كتف,ramię,rame,schouder,ώμος,váll,axel,rameno,umăr,рамо,skulder,omuz,olka,ramena,شانه,অংস,плече,ትከሻ,ស្មា,උරහිස්,ihlombe,bega,shoulder,skulder
20,1,Assets/Resources/Images/20.png,腕,ude,うで,null,arm,cánh tay,胳膊,bras,arm,बांह,lengan,braccio,팔,lengan,braço,рука,el brazo,แขน,braso,ذراع,ramię,ruka,arm,μπράτσο,kar,ärm,paže,braţ,ръка,arm,kol,käsivarsi,roka,بازو,বাহু,рука,ክንድ,ដៃ,හස්තය,ingalo,mkono,ແຂນ,væpne
21,1,Assets/Resources/Images/21.png,肘,hiji,ひじ,null,elbow,khuỷu tay,肘子,coude,ellbogen,कोहनी,siku,gomito,팔꿈치,siku,cotovelo,локоть,el codo,ข้อศอก,siko,كوع,łokieć,lakat,elleboog,αγκώνα,könyök,armbåge,loket,cot,лакът,albue,dirsek,kyynärpää,komolec,آرنج,কনুই,лікоть,ክንድ,កែងដៃ,වැලමිට,elbow,kijiko,ສອກ,albue
22,1,Assets/Resources/Images/22.png,手首,tekubi,てくび,null,wrist,cổ tay,手腕,poignet,handgelenk,कलाई,pergelangan tangan,polso,손목,pergelangan tangan,pulso,запястье,muñeca,ข้อมือ,pulso,معصم,nadgarstek,ručni zglob,pols,καρπος του χεριου,csukló,handled,zápěstí,încheietura,китка на ръка,håndled,bilek,ranne,zapestje,مچ دست,কব্জি,зап'ястя,የእጅ አንጓ,កដៃ,මැණික් කටුව,isibindi,wrist,ມືຖື,håndledd
23,1,Assets/Resources/Images/23.png,手,te,て,null,hand,tay,手,main,hand,हाथ,tangan,mano,손,tangan,mão,рука,la mano,มือ,kamay,يد,dłoń,ruka,hand-,χέρι,kéz,hand,ruka,mână,ръка,hånd,el,käsi,roka,دست,হাত,руки,እጅ,ដៃ,අත,isandla,mkono,ມື,hånd
24,1,Assets/Resources/Images/24.png,足首,ashikubi,あしくび,null,ankle,cổ chân,脚脖子,cheville,knöchel,टखने,pergelangan kaki,caviglia,발목,pergelangan kaki,tornozelo,лодыжка,el tobillo,ข้อเท้า,bukung-bukong,الكاحل,kostka,gležanj,enkel,αστράγαλος,boka,vrist,kotník,gleznă,глезен,ankel,ayak bileği,nilkka,gleženj,مچ پا,গোড়ালি,щиколотки,ቁርጭምጭሚት,កជើង,වළලුකර,i-ankle,mguu,ຂໍ້ຕີນ,ankel
25,1,Assets/Resources/Images/25.png,背中,senaka,せなか,null,back,lưng,后面,retour,zurück,वापस,kembali,indietro,뒤로,belakang,de volta,назад,la espalda,กลับ,bumalik,الى الخلف,z powrotem,leđa,terug,πίσω,hát,tillbaka,zadní,înapoi,обратно,tilbage,geri,takaisin,nazaj,بازگشت,পিছনে,назад,ጀርባ,ត្រឡប់មកវិញ,ආපසු,emuva,nyuma,ກັບຄືນໄປບ່ອນ,tilbake
26,1,Assets/Resources/Images/26.png,脇の下,waki no shita,わき の した,null,armpit,nách,腋窝,aisselle,achsel,कांख,ketiak,ascella,겨드랑이,ketiak,axila,подмышка,la axila,รักแร้,kilikili,إبط,pacha,pazuho,oksel,μασχάλη,hónalj,armhåla,podpaží,subsuoară,подмишница,armhule,koltuk altı,kainalo,pazduha,زیر بغل,বগল,пахви,ብብት,ក្លៀក,සත,phumula,piga,ນ້ໍາແຂໍງ,armhule
28,1,Assets/Resources/Images/28.png,尻,shiri,しり,null,buttock,mông,臀部,fesse,gesäß,चूतड़,pantat,natica,엉덩이,punggung,nádega,ягодица,la nalga,สะโพก,buttock,ردف,pośladek,stražnjica,bil,γλουτός,félfenék,skinka,hýždě,fesă,бут,balde,kalça,pakara,zadnjico,باسن,পাছা,сідниця,የጭራቅ,គូទ,අඳුර,i-buttock,kitambaa,buttock,rumpeballe
29,1,Assets/Resources/Images/29.png,脹ら脛,fukurahagi,ふくらはぎ,null,calf,bắp chân,腿肚子,veau,kalb,गाय का बच्चा,betis,vitello,송아지,anak lembu,bezerro,телец,la pantorrilla,ลูกวัว,guya,عجل,cielę,tele,kalf,μοσχάρι,borjú,kalv,tele,vițel,теле,kalv,buzağı,vasikka,tele,گوساله,বাছুর,теля,ጥጃ,កូនគោ,පැටවා,ithole,ndama,calf,kalv
30,1,Assets/Resources/Images/30.png,踵,kakato,かかと,null,heel,gót chân,脚跟,talon,hacke,एड़ी,tumit,tacco,힐,tumit,salto,пятка,el tacon,ส้น,takong,كعب,obcas,potpetica,hiel-,φτέρνα,sarok,häl,pata,toc,пета,hæl,topuk,kantapää,peta,پاشنه,গোড়ালি,п'ята,ተረከዝ,កែងជើង,විලුඹ,isithende,kisigino,heel,hæl
31,2,Assets/Resources/Images/31.png,髪,kami,かみ,null,hair,tóc,头发,cheveux,haar,बाल,rambut,capelli,머리,rambut,cabelo,волосы,el pelo,ผม,buhok,شعر,włosy,dlaka,haar-,μαλλιά,haj,hår,vlasy,păr,коса,hår,saç,hiukset,lase,مو,চুল,волосся,ፀጉር,សក់,හිසකෙස්,izinwele,nywele,ຜົມ,hår
32,2,Assets/Resources/Images/32.png,皮膚,hifu,ひふ,null,skin,da,皮肤,peau,haut,त्वचा,kulit,pelle,피부,kulit,pele,кожа,el piel,ผิว,balat,بشرة,skóra,koža,huid,δέρμα,bőr,hud,kůže,piele,кожа,hud,cilt,iho,kože,پوست,চামড়া,шкіри,ቆዳ,ស្បែក,සම,isikhumba,ngozi,ຜິວຫນັງ,hud
33,2,Assets/Resources/Images/33.png,眉毛,mayuge,まゆげ,null,eyebrow,lông mày,眼眉,sourcil,augenbraue,भौं,alis,sopracciglio,눈썹,kening,sobrancelha,бровь,las cejas,คิ้ว,kilay,حاجب العين,brew,obrva,wenkbrauw,φρύδι,szemöldök,ögonbryn,obočí,sprânceană,вежда,øjenbryn,kaş,kulmakarva,obrvi,ابرو,ভুরু,брови,ቅንድብ,រោមចិញ្ចើម,ඇහි බැම,ishiya,jicho,eyebrow,øyenbryn
34,2,Assets/Resources/Images/34.png,まつげ,matsuge,まつげ,null,eyelash,lông mi,睫毛,cil,wimper,बरौनी,bulu mata,ciglio,속눈썹,bulu mata,pestana,ресница,las pestañas,ขนตา,pilikmata,رمشة عين,rzęsa,trepavica,wimper,βλεφαρίδα,szempilla,ögonhår,řasa,geană,мигла,øjenvipper,kirpik,silmäripsi,trepalnic,مژه,পক্ষ্ম,вії,እብጠት,រោមភ្នែក,ඇසට විල,i-eyelashi,kinga,eyelash,øyevipper
35,2,Assets/Resources/Images/35.png,耳,mimi,みみ,null,ear,tai,耳朵,oreille,ohr,कान,telinga,orecchio,귀,telinga,orelha,ухо,la oreja,หู,tainga,إذن,ucho,uho,oor,αυτί,fül,öra,ucho,ureche,ухо,øre,kulak,korva,uho,گوش,কান,вухо,ጆሮ,ត្រចៀក,කන,indlebe,sikio,ຫູ,øre
36,2,Assets/Resources/Images/36.png,鼻,hana,はな,null,nose,mũi,鼻子,nez,nase,नाक,hidung,naso,코,hidung,nariz,нос,la nariz,จมูก,ilong,أنف,nos,nos,neus-,μύτη,orr,näsa,nos,nas,нос,næse,burun,nenä,nosu,بینی,নাক,ніс,አፍንጫ,ច្រមុះ,නාසය,impumulo,pua,ດັງ,nese
37,2,Assets/Resources/Images/37.png,黒子,hokuro,ほくろ,null,mole,nốt ruồi,痣,môle,maulwurf,तिल,tahi lalat,talpa,몰,tahi lalat,toupeira,моль,el lunar,ตุ่น,nunal,خلد,kret,madež,mol,ελια δερματος,anyajegy,mol,krtek,cârtiță,къртица,muldvarp,köstebek,mooli,mol,مول,আঁচিল,моль,ሞላ,mole,මවුලය,imvukuzane,mole,mole,muldvarp
38,2,Assets/Resources/Images/38.png,唇,kuchibiru,くちびる,null,lip,môi,嘴唇,lèvre,lippe,ओंठ,bibir,labbro,말뿐인,bibir,lábio,губа,los labios,ฝีปาก,lip,شفة,warga,usna,lip-,χείλος,ajak,läpp,ret,buze,устна,læbe,dudak,huuli,ustnice,لب,ঠোঁট,губа,ከንፈር,បបូរមាត់,මුල්ලක,lip,mdomo,ປາກ,leppe
39,2,Assets/Resources/Images/39.png,顎,ago,あご,null,chin,cằm,下巴,menton,kinn,ठोड़ी,dagu,mento,턱,dagu,queixo,подбородок,la barbilla,คาง,baba,ذقن,broda,brada,kin,πηγούνι,áll,haka,brada,bărbie,брадичка,hage,çin,leuka,brado,چانه,থুতনি,підборіддя,እጀተኛ,ចង្កា,නිකට,isikhumba,kiti,chin,hake
40,2,Assets/Resources/Images/40.png,額,hitai,ひたい,null,forehead,trán,前额,front,stirn,माथा,dahi,fronte,이마,dahi,testa,лоб,el frente,หน้าผาก,noo,جبين,czoło,čelo,voorhoofd,μέτωπο,homlok,panna,čelo,frunte,чело,pande,alın,otsa,čelo,پیشانی,কপাল,лоб,ግንባር,ថ្ងាស,නළල,ebunzini,paji la uso,forehead,panne
41,2,Assets/Resources/Images/41.png,こめかみ,komekami,こめかみ,null,temple,thái dương,太阳穴,temple,tempel,मंदिर,kuil,tempio,신전,kuil,templo,храм,el templo,วัด,templo,صدغ,świątynia,hram,tempel,ναός,templom,tempel,chrám,templu,храм,tempel,tapınak,temppeli,tempelj,معبد,মন্দির,храм,ቤተ መቅደስ,ប្រាសាទ,පන්සල,ithempeli,hekalu,ພຣະວິຫານ,tinning
42,2,Assets/Resources/Images/42.png,目,me,め,null,eye,mắt,眼睛,œil,auge,आंख,mata,occhio,눈,mata,olho,глаз,los ojos,ตา,mata,عين,oko,oko,oog,μάτι,szem,öga,oko,ochi,око,øje,göz,silmä,oči,چشم,চোখ,очей,ዓይን,ភ្នែក,ඇස,iso,jicho,ຕາ,øye
43,2,Assets/Resources/Images/43.png,頬,hoo,ほお,null,cheek,má,面颊,joue,wange,गाल,pipi,guancia,뺨,pipi,bochecha,щека,la mejilla,แก้ม,pisngi,الخد,policzek,obraz,wang,μάγουλο,orca,kind,tvář,obraz,буза,kind,yanak,poski,obraz,گونه,গাল,щоку,ጉንጭ,ថ្ពាល់,කම්මුල,isifuba,shavu,ແກ້ມ,kinn
44,2,Assets/Resources/Images/44.png,鼻の穴,hana no ana,はな の あな,null,nostril,lỗ mũi,鼻孔,narine,nasenloch,नथना,lubang hidung,narice,콧 구멍,lubang hidung,narina,ноздря,la fosa nasal,รูจมูก,butas ng ilong,منخر,nozdrze,nozdrva,neusgat,ρουθούνι,orrlyuk,näsborre,nozdra,nară,ноздра,næsebor,burun deliği,sierain,nosnico,سوراخ بینی,নাসারন্ধ্র,ніздрю,የአፍንጫ ቀውስ,រន្ធមុះ,නාස්තිය,i-nostril,pua,nostril,nesebor
45,2,Assets/Resources/Images/45.png,口,kuchi,くち,null,mouth,miệng,嘴,bouche,mund,मुंह,mulut,bocca,입,mulut,boca,рот,la boca,ปาก,bibig,فم,usta,usta,mond,στόμα,száj,mun,pusa,gură,уста,mund,ağız,suu,ustih,دهان,মুখ,рот,አፍ,មាត់,මුඛය,umlomo,kinywa,ປາກ,munn
47,2,Assets/Resources/Images/47.png,皺,shiwa,しわ,null,wrinkle,nếp nhăn,皱纹,ride,falten,शिकन,kerut,ruga,좋은 생각,kedutan,ruga,морщина,la arruga,ริ้วรอย,kulubot,تجعد,zmarszczka,bora,rimpel,ρυτίδα,ránc,skrynkla,vráska,rid,бръчка,rynke,kırışıklık,rypistyä,gubam,چین و چروک,বলি,зморшки,ፈገግታ,ស្នាមជ្រួញ,රැළි,wrinkle,wrinkle,ຂົມຂື່ນ,rynke
48,2,Assets/Resources/Images/48.png,そばかす,sobakasu,そばかす,null,freckle,tàn nhang,雀子,tache de rousseur,sommersprosse,झाई,bintik,lentiggine,주근깨가 생기다,freckle,sardas,веснушка,la peca,กระบนผิวหน้า,freckle,نمش,pieg,pjega,zomersproet,φακίδα,folt,fräkne,piha,pistrui,луничка,fregne,çil,pisama,pega,کک مک,ক্ষুদ্র চিহ্ন,веснянка,የጭራቅ,freckle,පැල්ලමක්,ukukhululeka,tamaa,freckle,fregne
49,2,Assets/Resources/Images/49.png,毛穴,keana,けあな,null,pore,lỗ chân lông,毛孔,pore,pore,ध्यान में लीन होना,pori,poro,기공,pori,poro,поры,el poro,รูขุมขน,napakaliit,مسام,por,pora,porie,πόρος,pórus,por,pór,por,пора,pore,gözenek,huokonen,pore,منافذ,লোমকূপ,пори,ግርፊያ,រន្ធ,පෝරේ,i-pore,pore,pore,pore
50,2,Assets/Resources/Images/50.png,えくぼ,ekubo,えくぼ,null,dimple,lúm đồng tiền,酒窝,fossette,grübchen,हिलकोरे,lesung pipi,fossetta,보조개,lesung,ondulação,ямочка,el hoyuelo,ลักยิ้ม,bilog,نقرة صغيرة في الماء,dołek na policzku,rupica,kuiltje,γελασινός,gödröcske arcon,grop,důlek,gropiţă,трапчинка,smilehul,gamze,kuoppa,jamica,کمرنگ,টোল,ямочка,ዲፕሎማ,ស្រអាប់,ඩම්ප්,i-dimple,dimple,dimple,smilehull
51,3,Assets/Resources/Images/51.png,薬指,kusuriyubi,くすりゆび,null,ring finger,ngón áp út,无名指,bague,ringfinger,रिंग फिंगर,jari manis,anulare,약손가락,jari manis,dedo anelar,безымянный палец,el dedo anular,แหวน,palasingsingan,إصبع الخاتم,palec serdeczny,prstenjak,ringvinger,παράμεσος,gyűrűsujj,ringfinger,prsteník,degetul inelar,безименен пръст,ringfinger,yüzük parmağı,nimetön sormi,prstanec,انگشت حلقه,আঙুল আঙুল,безіменний палець,ጣት ቀለበት,ម្រាមដៃ​នាង,ඇඟිලි ඇඟිල්ල,ring finger,pete kidole,ແຫວນນິ້ວມື,ringfingeren
52,3,Assets/Resources/Images/52.png,小指,koyubi,こゆび,null,little finger,ngón út,小指,petit doigt,kleiner finger,छोटी उंगली,jari kecil,mignolo,새끼 손가락,jari kecil,dedo mindinho,мизинец,el dedo meñique,นิ้วก้อย,hinliliit,الاصبع الصغير,mały palec,mali prst,pink,μικρο δαχτυλο,kisujj,lillfinger,malíček,degetul mic,малък пръст,lillefinger,küçük parmak,pikkurilli,mezinec,انگشت کوچک,কনিষ্ট আঙ্গুল,маленький палець,ትንሿ ጣት,ម្រាមដៃតិចតួច,පුංචි ඇඟිල්ලක්,umunwe omncane,kidole kidogo,ນິ້ວມືພຽງເລັກນ້ອຍ,lillefinger
53,3,Assets/Resources/Images/53.png,手首,tekubi,てくび,null,wrist,cổ tay,手腕子,poignet,handgelenk,कलाई,pergelangan tangan,polso,손목,pergelangan tangan,pulso,запястье,la muñeca,ข้อมือ,pulso,معصم,nadgarstek,ručni zglob,pols,καρπος του χεριου,csukló,handled,zápěstí,încheietura,китка на ръка,håndled,bilek,ranne,zapestje,مچ دست,কব্জি,зап'ястя,የእጅ አንጓ,កដៃ,මැණික් කටුව,isibindi,wrist,ມືຖື,håndledd
54,3,Assets/Resources/Images/54.png,中指,nakayubi,なかゆび,null,middle finger,ngón giữa,中指,majeur,mittelfinger,बीच की ऊँगली,jari tengah,dito medio,가운데 손가락,jari tengah,dedo do meio,средний палец,el dedo medio,นิ้วกลาง,hinlalato,الاصبع الوسطى,środkowy palec,srednji prst,middelvinger,μεσαίο δάχτυλο,középső ujj,långfinger,prostředníček,degetul mijlociu,среден пръст,lange finger,orta parmak,keskisormi,sredinec,انگشت وسط,মধ্যমা,середній палець,መካከለኛ ጣት,ពាក់កណ្តាល,මැද ඇඟිල්ල,umunwe ophakathi,kidole cha kati,ນິ້ວ​ກາງ,langfinger
55,3,Assets/Resources/Images/55.png,人差し指,hitosashiyubi,ひとさしゆび,null,index finger,ngón trỏ,食指,l'index,zeigefinger,तर्जनी,jari telunjuk,indice,집게 손가락,jari telunjuk,dedo indicador,указательный палец,el dedo índice,นิ้วชี้,hintuturo,السبابة,palec wskazujący,kažiprst,wijsvinger,δεικτης,mutatóujj,pekfinger,ukazováček,degetul aratator,показалец,pegefinger,işaret parmağı,etusormi,kazalec,انگشت اشاره,তর্জনী,вказівний палець,አውራ ጣት,ម្រាម​ដៃ​ចង្អុល,දර්ශක ඇඟිල්ල,umunwe wokukhomba,kidole cha kwanza,index finger,pekefinger
56,3,Assets/Resources/Images/56.png,掌,tenohira,てのひら,null,palm,gan bàn tay,巴掌,paume,palme,हथेली,telapak tangan,palma,손바닥 안에 감추다,sawit,palma,пальма,la palma,ปาล์ม,palad,كف,palma,dlan,palm,παλάμη,tenyér,handflatan,dlaň,palmier,длан,håndflade,avuç içi,palmu,dlani,نخل,করতল,долоні,ዘምባባ,ដូង,පාම්,isundu,mitende,ປາມ,palm
57,3,Assets/Resources/Images/57.png,親指,oyayubi,おやゆび,null,thumb,ngón cái,大拇指,pouce,daumen,अंगूठा,ibu jari,pollice,무지,ibu jari,polegar,большой палец,el pulgar,นิ้วหัวแม่มือ,hinlalaki,إبهام اليد,kciuk,palac,duim,αντίχειρας,hüvelykujj,tumme,palec,deget mare,палец,tommelfinger,başparmak,peukalo,palec,شست,অঙ্গুষ্ঠ,великий палець,አውራ ጣት,មេដៃ,මාපට,isithupha,kidole,ຫົວຂໍ້,tommel
58,3,Assets/Resources/Images/58.png,爪,tsume,つめ,null,nail,móng,指甲,clou,nagel,नाखून,kuku,chiodo,네일,kuku,unha,гвоздь,la uña,เล็บ,kuko,مسمار,gwóźdź,čavao,nagel,νύχι,köröm,spika,nehet,cui,гвоздей,søm,tırnak,naulata,noht,ناخن - میخ,পেরেক,цвях,ምስማር,ក្រចក,නියපොතු,isipikili,msumari,ເລັບ,spiker
59,3,Assets/Resources/Images/59.png,甘皮,amakawa,あまかわ,null,cuticle,biểu bì,表皮,cuticule,kutikula,छल्ली,kutikula,cuticola,표피,kutikula,cutícula,кутикула,la cutícula,หนังกำพร้า,kutikyol,بشرة,naskórek,zanoktica,nagelriem,επιδερμίδα,kutikula,ytterhud,pokožka,cuticulă,кутикула,neglebånd,kütikül,orvaskesi,povrhnjica,کوتیکول,চর্ম,кутикули,ቆርቆሮ,cuticle,හිසරදය,i-cuticle,cuticle,cuticle,cuticle
60,3,Assets/Resources/Images/60.png,指の関節,yubi no kansetsu,ゆび の かんせつ,null,knuckle,khớp ngón tay,指关节,articulation,knöchel,जोड़,buku,nocca,돌기,buku jari,junta,ножка,el nudillo,เคาะ,buko,عقلة الاصبع,golonka,zglob,knokkel,άρθρωση των δάκτυλων,ujjperec,knoge,koleno,cot,джолан,kno,boğum,rysty,kolena,دستکش,গিঁট,кулак,ተኩላ,knuckle,නකල්ස්,beka,piga,knuckle,knoke
61,3,Assets/Resources/Images/61.png,拳,kobushi,こぶし,null,fist,nắm đấm,拳头,poing,faust,मुट्ठी,tinju,pugno,주먹,penumbuk,punho,кулак,el puño,กำปั้น,kamao,قبضة,pięść,šaka,vuist,γροθιά,ököl,näve,pěst,pumn,юмрук,næve,yumruk,nyrkki,pest,مشت,মুষ্টি,кулак,ቡጢ,ទីមួយ,අතේ,isibhamu,ngumi,fist,neve
62,4,Assets/Resources/Images/62.png,足指,ashiyubi,あしゆび,null,toe,ngón chân,脚趾,doigt de pied,zehe,पैर की अंगुली,kaki,dito del piede,발가락,jari kaki,dedo do pé,палец,el dedo del pie,นิ้วเท้า,daliri ng paa,إصبع قدم,palec u nogi,nožni prst,teen,δάχτυλο του ποδιού,lábujj,tå,prst,deget de la picior,пръст на крак,tå,ayak parmağı,varvas,prst na nogi,انگشت پا,পদাঙ্গুলি,носок,ጡት,ម្រាមជើង,පස්සෙන්,uzwane,toe,toe,tå
63,4,Assets/Resources/Images/63.png,足裏,ashiura,あしうら,null,sole,lòng bàn chân,脚板,unique,"sohle, einzig, alleinig",एकमात्र,tunggal,suola,바닥,tunggal,único,единственный,único,เพียงผู้เดียว,nag-iisang,باطن القدم,podeszwa,jedini,zool,αποκλειστική,egyetlen,enda,jediný,unic,подметка,sål,tek,pohja,podplat,تنها,একমাত্র,підошва,ብቸኛ,តែមួយគត់,අඩිය,isoli,pekee,sole,såle
65,4,Assets/Resources/Images/65.png,母指球,boshikyū,ぼしきゅう,null,ball,má bàn chân,跗面,ballon,ball,गेंद,bola,palla,공,bola,bola,мяч,la bola,ลูกบอล,bola,كرة,piłka,lopta,bal,μπάλα,labda,boll,míč,minge,топка,bold,top,pallo,žogo,توپ,বল,м'яч,ኳስ,បាល់,පන්දුව,ibhola,mpira,ບານ,ball
